from_date_local,extract_date_local,count_available_rooms
2019-05-22,2019-04-30,641
2019-05-12,2019-04-30,657
2019-05-30,2019-04-29,569
2019-05-28,2019-04-29,711
2019-05-04,2019-04-29,410
2019-05-07,2019-04-29,558
2019-05-04,2019-04-30,429
2019-05-05,2019-04-30,633
2019-05-19,2019-04-30,718
2019-05-26,2019-04-29,707
2019-05-29,2019-04-30,731
2019-05-01,2019-04-30,218
2019-05-02,2019-04-29,360
2019-05-30,2019-04-30,571
2019-05-14,2019-04-29,490
2019-05-21,2019-04-29,168
2019-05-01,2019-04-29,358
2019-05-13,2019-04-29,600
2019-05-16,2019-04-29,559
2019-05-19,2019-04-29,716
2019-05-21,2019-04-30,158
2019-05-24,2019-04-30,481
2019-05-05,2019-04-29,653
2019-05-10,2019-04-29,350
2019-05-14,2019-04-30,470
2019-05-20,2019-04-29,350
2019-05-07,2019-04-30,530
2019-05-03,2019-04-29,355
2019-05-08,2019-04-29,172
2019-05-16,2019-04-30,555
2019-05-25,2019-04-30,327
2019-05-06,2019-04-29,680
2019-05-17,2019-04-29,435
2019-05-13,2019-04-30,600
2019-05-10,2019-04-30,347
2019-05-03,2019-04-30,370
2019-05-27,2019-04-29,733
2019-05-29,2019-04-29,728
2019-05-09,2019-04-29,474
2019-04-29,2019-04-29,253
2019-05-26,2019-04-30,703
2019-05-24,2019-04-29,478
2019-05-15,2019-04-30,535
2019-05-28,2019-04-30,707
2019-05-12,2019-04-29,661
2019-05-02,2019-04-30,300
2019-05-11,2019-04-30,285
2019-05-15,2019-04-29,545
2019-05-11,2019-04-29,295
2019-05-23,2019-04-30,683
2019-05-22,2019-04-29,644
2019-05-06,2019-04-30,665
2019-05-09,2019-04-30,461
2019-05-31,2019-04-29,382
2019-05-31,2019-04-30,397
2019-04-30,2019-04-30,252
2019-05-18,2019-04-29,317
2019-05-23,2019-04-29,687
2019-05-25,2019-04-29,313
2019-05-20,2019-04-30,357
2019-04-30,2019-04-29,249
2019-05-27,2019-04-30,729
2019-05-18,2019-04-30,324
2019-05-17,2019-04-30,422
2019-05-08,2019-04-30,140
2019-03-13,2019-02-01,770
2019-04-08,2019-02-01,737
2019-04-18,2019-02-01,715
2019-04-01,2019-02-01,793
2019-02-15,2019-02-01,559
2019-02-18,2019-02-01,675
2019-03-11,2019-02-01,784
2019-03-22,2019-02-01,590
2019-02-08,2019-02-01,534
2019-02-25,2019-02-01,763
2019-03-20,2019-02-01,802
2019-04-10,2019-02-01,677
2019-03-06,2019-02-01,780
2019-04-17,2019-02-01,742
2019-04-04,2019-02-01,780
2019-03-10,2019-02-01,804
2019-03-25,2019-02-01,760
2019-03-26,2019-02-01,781
2019-03-21,2019-02-01,792
2019-03-07,2019-02-01,729
2019-04-03,2019-02-01,767
2019-03-27,2019-02-01,788
2019-02-10,2019-02-01,744
2019-03-28,2019-02-01,761
2019-04-07,2019-02-01,776
2019-02-23,2019-02-01,445
2019-03-17,2019-02-01,807
2019-03-01,2019-02-01,624
2019-04-11,2019-02-01,698
2019-03-02,2019-02-01,431
2019-04-21,2019-02-01,557
2019-04-09,2019-02-01,634
2019-04-16,2019-02-01,667
2019-03-18,2019-02-01,802
2019-03-24,2019-02-01,788
2019-02-04,2019-02-01,500
2019-02-13,2019-02-01,631
2019-03-04,2019-02-01,792
2019-03-29,2019-02-01,591
2019-02-22,2019-02-01,584
2019-02-26,2019-02-01,758
2019-02-28,2019-02-01,821
2019-02-02,2019-02-01,213
2019-02-03,2019-02-01,502
2019-02-20,2019-02-01,710
2019-03-12,2019-02-01,742
2019-02-06,2019-02-01,191
2019-04-05,2019-02-01,561
2019-02-21,2019-02-01,710
2019-03-08,2019-02-01,604
2019-02-12,2019-02-01,668
2019-04-02,2019-02-01,778
2019-02-24,2019-02-01,765
2019-03-16,2019-02-01,433
2019-02-17,2019-02-01,716
2019-02-09,2019-02-01,495
2019-03-09,2019-02-01,455
2019-04-13,2019-02-01,191
2019-02-19,2019-02-01,668
2019-03-31,2019-02-01,822
2019-04-12,2019-02-01,304
2019-02-11,2019-02-01,717
2019-02-14,2019-02-01,627
2019-03-23,2019-02-01,374
2019-03-14,2019-02-01,779
2019-02-27,2019-02-01,775
2019-03-15,2019-02-01,640
2019-03-30,2019-02-01,413
2019-04-15,2019-02-01,480
2019-03-19,2019-02-01,768
2019-03-03,2019-02-01,781
